LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent12730,0.46836525,0.47746956,0.30445296,0.58779603
layers.14_latent63476,0.60910904,0.6032873,0.49511403,0.68623066
layers.14_latent5276,0.53159297,0.53919435,0.34597903,0.7262123
layers.14_latent24387,0.55346465,0.5278027,0.40775046,0.74936295
layers.14_latent63316,0.5554778,0.5318191,0.47188967,0.6701625
layers.14_latent64049,0.48741063,0.4894727,0.29132438,0.6290039
layers.14_latent34940,0.48840332,0.49599773,0.2070163,0.8319293
layers.14_latent3502,0.4957994,0.47228223,0.32231045,0.8001965
layers.14_latent51051,0.47312012,0.45188475,0.35625952,0.63109946
layers.14_latent54591,0.5534484,0.60464835,0.33181918,0.65968937
layers.14_latent53898,0.5564385,0.5557563,0.38728395,0.7452775
layers.14_latent58273,0.50288856,0.48682112,0.21263655,0.7678472
layers.14_latent63698,0.52072275,0.5420521,0.15351892,0.78206766
layers.14_latent65383,0.50303185,0.42546707,0.28538692,0.76193225
layers.14_latent5150,0.6130644,0.6365106,0.3836453,0.75559425
layers.14_latent64975,0.44236645,0.40114343,0.29322773,0.6096674
layers.14_latent52828,0.5685724,0.5655801,0.43505317,0.72547776
layers.14_latent39670,0.6525167,0.64450014,0.47177866,0.8472487
layers.14_latent22647,0.48354775,0.40260118,0.35141265,0.94455945
layers.14_latent28753,0.5012657,0.49397781,0.37549782,0.6192032
layers.14_latent18110,0.50029993,0.5210974,0.3284787,0.61075014
layers.14_latent24339,0.5167715,0.5199423,0.3816893,0.66451335
layers.14_latent21809,0.7353125,0.7651011,0.57449865,0.81641173
layers.14_latent62205,0.47542033,0.43822825,0.35845232,0.73512495
layers.14_latent21331,0.56494796,0.5620179,0.48005584,0.6493437
layers.14_latent60304,0.68692684,0.7067387,0.53450614,0.82885516
layers.14_latent7281,0.52792925,0.48782185,0.36274734,0.8175657
layers.14_latent62511,0.51394826,0.4863311,0.3773503,0.8350842
layers.14_latent34614,0.49340695,0.5122509,0.36621124,0.582651
layers.14_latent12314,0.5439939,0.54496,0.3993741,0.7041094
layers.14_latent54271,0.38315517,0.36760575,0.313379,0.4536139
layers.14_latent14158,0.52766687,0.5327874,0.24623054,0.7293582
layers.14_latent57628,0.51147795,0.49248722,0.415227,0.6764324
layers.14_latent16594,0.41542226,0.38662243,0.23539597,0.7888875
layers.14_latent31470,0.38420978,0.3723933,0.16559127,0.67095727
layers.14_latent50427,0.4781568,0.487904,0.372597,0.59183156
layers.14_latent47268,0.5807246,0.5423874,0.35134476,0.9306564
layers.14_latent12366,0.39164263,0.38745812,0.20866983,0.6355704
layers.14_latent54537,0.6863259,0.6574614,0.5663278,0.89354557
layers.14_latent52166,0.55966413,0.57216036,0.42499918,0.6435443
layers.14_latent62454,0.5603919,0.5611552,0.41546866,0.718966
layers.14_latent53390,0.63414156,0.615523,0.43382993,0.90358233
layers.14_latent10530,0.6034509,0.6196666,0.3071195,0.73092693
layers.14_latent19397,0.63372433,0.63253057,0.49180907,0.8099636
layers.14_latent16684,0.4705349,0.46486557,0.20868348,0.65581524
layers.14_latent61304,0.53877103,0.5286949,0.36358932,0.7449538
layers.14_latent40080,0.45726004,0.39396214,0.30622643,0.6706559
layers.14_latent65013,0.47492105,0.45412248,0.35766065,0.6974561
layers.14_latent4738,0.6764113,0.73917603,0.3029163,0.8071604
layers.14_latent41566,0.48737955,0.46779945,0.38547668,0.61732924
layers.14_latent1616,0.5673169,0.6092633,0.3150109,0.7624771
layers.14_latent57368,0.39299184,0.39338377,0.14157382,0.720422
layers.14_latent62561,0.49486703,0.5089872,0.28002533,0.7148223
layers.14_latent52984,0.54241014,0.57472384,0.32925558,0.81022847
layers.14_latent9233,0.45008293,0.45124096,0.22069427,0.7578533
layers.14_latent19092,0.625819,0.6453925,0.40716004,0.82909334
layers.14_latent16731,0.6359545,0.6187537,0.45987302,0.8532538
layers.14_latent51180,0.30129156,0.3181491,0.16774559,0.38746813
layers.14_latent63768,0.43532008,0.4054437,0.23145731,0.71771204
layers.14_latent34479,0.56204575,0.5475551,0.4121096,0.8141451
layers.14_latent21336,0.607755,0.6536635,0.35988867,0.7134392
layers.14_latent23155,0.50519574,0.5266174,0.2996159,0.61744905
layers.14_latent54991,0.41678223,0.39345735,0.23771392,0.57367647
layers.14_latent38318,0.4637412,0.44199258,0.24655257,0.65861976
layers.14_latent1990,0.66691655,0.6197346,0.53282076,0.9449019
layers.14_latent43215,0.55833757,0.57603586,0.29940358,0.6804175
